"Date","Price","Open","High","Low","Vol.","Change %"
"02/20/2024","210.69","208.88","210.69","206.30","","0.87%"
"02/19/2024","208.88","209.68","209.68","207.31","","-0.38%"
"02/16/2024","209.68","209.37","209.68","207.35","","0.15%"
"02/15/2024","209.37","209.18","209.52","207.19","","0.09%"
"02/14/2024","209.18","208.27","209.18","206.65","","0.44%"
"02/13/2024","208.27","207.86","208.42","206.45","","0.20%"
"02/09/2024","207.86","207.91","208.49","206.31","","-0.02%"
"02/08/2024","207.91","207.16","207.94","206.04","","0.36%"
"02/07/2024","207.16","207.61","207.61","205.13","","-0.22%"
"02/06/2024","207.61","207.81","208.38","206.12","","-0.10%"
"02/05/2024","207.81","207.88","207.97","205.83","","-0.03%"
"02/02/2024","207.88","207.40","207.93","206.19","","0.23%"
"02/01/2024","207.40","207.64","207.64","206.76","","-0.12%"
"01/31/2024","207.64","207.46","207.67","206.00","","0.09%"
"01/30/2024","207.46","207.75","207.75","205.94","","-0.14%"
"01/29/2024","207.75","207.90","208.07","205.84","","-0.07%"
"01/26/2024","207.90","208.67","208.87","206.07","","-0.37%"
"01/25/2024","208.67","207.75","208.67","206.64","","0.44%"
"01/24/2024","207.75","208.57","208.57","205.70","","-0.39%"
"01/23/2024","208.57","208.54","208.57","207.09","","0.01%"
"01/22/2024","208.54","208.83","208.83","207.36","","-0.14%"
"01/19/2024","208.83","209.56","209.56","206.35","","-0.35%"
"01/18/2024","209.56","209.74","209.74","207.33","","-0.09%"
"01/17/2024","209.74","210.21","210.21","208.20","","-0.22%"
"01/16/2024","210.21","209.58","210.21","207.83","","0.30%"
"01/15/2024","209.58","209.33","210.24","206.42","","0.12%"
"01/12/2024","209.33","208.94","209.78","207.15","","0.19%"
"01/11/2024","208.94","211.03","211.03","206.12","","-0.99%"
"01/10/2024","211.03","211.26","211.26","208.48","","-0.11%"
"01/09/2024","211.26","211.59","211.75","207.47","","-0.16%"
"01/08/2024","211.59","212.82","213.27","209.22","","-0.58%"
"01/05/2024","212.82","213.58","213.75","209.17","","-0.36%"
"01/04/2024","213.58","214.47","214.47","208.70","","-0.41%"
"01/03/2024","214.47","212.77","214.47","208.88","","0.80%"
"01/02/2024","212.77","214.15","214.15","210.51","","-0.64%"
"12/29/2023","214.15","214.92","214.92","208.33","","-0.36%"
"12/28/2023","214.92","211.74","214.92","207.16","","1.50%"
"12/27/2023","211.74","211.54","212.33","206.52","","0.09%"
"12/26/2023","211.54","212.09","212.09","207.93","","-0.26%"
"12/22/2023","212.09","210.09","212.09","208.63","","0.95%"
"12/21/2023","210.09","210.39","210.39","207.37","","-0.14%"
"12/20/2023","210.39","207.99","210.42","206.36","","1.15%"
"12/19/2023","207.99","208.62","208.62","193.98","","-0.30%"
"12/18/2023","208.62","209.85","209.95","206.71","","-0.59%"
"12/15/2023","209.85","210.38","210.38","207.61","","-0.25%"
"12/14/2023","210.38","211.18","212.10","207.30","","-0.38%"
"12/13/2023","211.18","210.20","211.63","208.35","","0.47%"
"12/12/2023","210.20","209.56","210.34","207.59","","0.31%"
"12/11/2023","209.56","210.57","211.00","207.53","","-0.48%"
"12/08/2023","210.57","209.25","210.57","207.91","","0.63%"
"12/07/2023","209.25","209.86","209.86","207.71","","-0.29%"
"12/06/2023","209.86","209.62","210.69","208.26","","0.11%"
"12/05/2023","209.62","209.56","210.09","207.61","","0.03%"
